ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142856330724.143.71.20738.102.0.83,2015/04/09/20150409T07:08:03.566750000Z_c-24-143-71-207.customer.broadstripe.net:53017.s2c_snaplog.gz,1428563307,24.143.71.207,38.102.0.83,c-24-143-71-207.customer.broadstripe.net,,BTWebClient/3420,Windows,Seattle,47.5839004517,-122.2994995117,31.9702156662
142856928474.94.77.9438.102.0.83,2015/04/09/20150409T08:47:40.928732000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:6502.s2c_snaplog.gz,1428569284,74.94.77.94,38.102.0.83,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,2.213972051
1428573653174.34.145.24274.63.50.47,2015/04/09/20150409T10:00:22.35050000Z_174.34.145.242.rdns.as15003.net:59703.s2c_snaplog.gz,1428573653,174.34.145.242,74.63.50.47,174.34.145.242.rdns.as15003.net,,,,Seattle,47.4891014099,-122.290802002,0.025836455
1428579924184.78.211.164173.205.3.11,2015/04/09/20150409T11:44:57.367784000Z_184-78-211-164.war.clearwire-wmx.net:49631.s2c_snaplog.gz,1428579924,184.78.211.164,173.205.3.11,184-78-211-164.war.clearwire-wmx.net,,,,Seattle,47.6062011719,-122.3320999146,5.5477382512
142859404774.94.77.9438.102.0.97,2015/04/09/20150409T15:40:23.111091000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:6134.s2c_snaplog.gz,1428594047,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,5.1320206421
142859547898.225.24.147173.205.3.11,2015/04/09/20150409T16:04:24.402418000Z_c-98-225-24-147.hsd1.wa.comcast.net:50350.s2c_snaplog.gz,1428595478,98.225.24.147,173.205.3.11,,,,,Seattle,47.3824005127,-122.3137969971,14.8829834246
142859586964.120.19.13038.102.0.83,2015/04/09/20150409T16:10:47.693090000Z_64.120.19.130.ubiquityservers.com:56394.s2c_snaplog.gz,1428595869,64.120.19.130,38.102.0.83,64.120.19.130.ubiquityservers.com,,BTWebClient/7920,Windows,Seattle,47.4891014099,-122.290802002,4.5413243888
142859627564.120.19.13038.98.51.45,2015/04/09/20150409T16:17:31.665322000Z_64.120.19.130.ubiquityservers.com:57298.s2c_snaplog.gz,1428596275,64.120.19.130,38.98.51.45,64.120.19.130.ubiquityservers.com,,BTWebClient/7920,Windows,Seattle,47.4891014099,-122.290802002,1.1371131933
142859867467.165.115.22338.102.0.97,2015/04/09/20150409T16:57:40.491830000Z_c-67-165-115-223.hsd1.wa.comcast.net:50849.s2c_snaplog.gz,1428598674,67.165.115.223,38.102.0.97,,,,,Seattle,47.6062011719,-122.3320999146,14.6804982678
1428599802207.170.245.74213.248.112.101,2015/04/09/20150409T17:16:18.487089000Z_mail.secprop.com:3008.s2c_snaplog.gz,1428599802,207.170.245.74,213.248.112.101,mail.secprop.com,,,,Seattle,47.5471992493,-122.3513031006,14.1587178241
